 1717618 2M19222314+3712209 4881.6  96.   0.08  0.03  -0.006 0.013 120.991 0.009  9.677 0.004 RGB      1.0203 0.0005 1.662 0.043 0.034  6.778 0.016 0.012 2.996 0.006 0.007 7.527E-03 0.008 0.007 3.272  0.069  -0.058 0.161 0.092
 1719297 2M19240173+3716003 4232.7  53.2 -0.02  0.023  0.003 0.012   7.213 0.067  1.201 0.014 RGB      1.0441 0.0006 1.093 0.21  0.044 23.328 0.073 0.017 1.741 0.028 0.007 1.214E-04 0.028 0.008 3.878  0.346  -0.28  0.458 0.081 SeisUnc
 1719422 2M19240872+3712254 4945.3  85.9 -0.243 0.038  0.023 0.015 135.434 0.009 11.312 0.004 RGB      1.0207 0.0003 1.271 0.041 0.033  5.584 0.015 0.012 3.048 0.005 0.007 1.029E-02 0.008 0.007 3.584  0.061  -0.058 0.387 0.08
 1720241 2M19245928+3714304 5045.5 104.7 -0.138 0.037  0.021 0.016 217.968 0.013 16.254 0.025 RGB      1.0169 0.0001 1.3   0.112 0.028  4.43  0.053 0.009 3.259 0.007 0.007 2.109E-02 0.051 0.006 3.578  0.181  -0.162 0.611 0.095 SeisUnc
 1720425 2M19251052+3715499 4815.6  75.9 -0.159 0.034  0.04  0.014  28.408 0.014  3.724 0.013 RC       0.9944 0.0339 1.066 0.154 0.08  11.238 0.075 0.024 2.364 0.007 0.01  1.059E-03 0.073 0.008 3.702  0.177  -0.153 0.555 0.075
 1723047 2M19272602+3717271 5005.8  94.2 -0.086 0.036 -0.017 0.014 143.314 0.009 11.451 0.004 RGB      1.0193 0.0004 1.468 0.042 0.033  5.817 0.015 0.011 3.075 0.006 0.007 1.052E-02 0.008 0.007 3.41   0.066  -0.065 0.304 0.086
 1723752 2M19280136+3717594 4993.8  87.2 -0.12  0.037  0.022 0.014 196.459 0.009 14.98  0.004 RGB      1.0173 0.0001 1.297 0.041 0.029  4.673 0.015 0.01  3.212 0.005 0.007 1.793E-02 0.008 0.006 3.582  0.063  -0.061 0.259 0.08
 1723843 2M19280451+3713548 4943.5  82.1 -0.198 0.037  0.036 0.014 110.874 0.009  9.438 0.004 RGB      1.0224 0.0004 1.429 0.04  0.035  6.544 0.015 0.012 2.961 0.005 0.007 7.189E-03 0.008 0.007 3.421  0.062  -0.06  0.469 0.077
 1725190 2M19291057+3713306 5111.3  90.3  0.005 0.037 -0.032 0.012  98.158 0.009  7.875 0.004 RC       0.993  0.0023 2.416 0.042 0.048  8.97  0.016 0.01  2.916 0.005 0.007 4.721E-03 0.009 0.008 2.834  0.076  -0.076 0.099 0.081
 1725552 2M19292749+3717501 4325.8  56.1  0.095 0.023 -0.006 0.011   7.893 0.05   1.214 0.006 RGB      1.0372 0.0006 1.455 0.153 0.044 25.592 0.052 0.017 1.785 0.021 0.007 1.224E-04 0.013 0.008 3.495  0.247  -0.215 0.431 0.071 SeisUnc
 1725732 2M19293659+3713410 4077.3  48.3  0.071 0.02   0.029 0.012   3.22  0.049  0.677 0.029 RGB      1.0397 0.0047 0.928 0.188 0.044 32.466 0.076 0.017 1.382 0.021 0.007 3.825E-05 0.058 0.008 4.161  0.082  -0.267 0.711 0.181 Ageold, SeisUnc
 1726211 2M19300107+3717340 4943.5  82.9 -0.533 0.045  0.258 0.018  30.692 0.016  3.738 0.017 RC       1.0054 0.011  1.317 0.098 0.079 11.941 0.045 0.024 2.403 0.008 0.01  1.091E-03 0.041 0.008 3.39   0.12   -0.109 0.269 0.079
 1726245 2M19300260+3715187 4816.9  75.3  0.136 0.029  0.001 0.011  47.322 0.038  4.891 0.014 RC       0.9986 0.0079 1.627 0.132 0.071 10.76  0.05  0.02  2.586 0.016 0.009 1.842E-03 0.032 0.008 3.274  0.158  -0.102 0.415 0.075
